; "SupportedThreads",24,"UsedThreads",24,"TotalMemory",270192963584,"PlanRigor","measure","PlanTimeLimit [s]","None","NumberWarmups",2,"NumberWarmRuns",10,"NumberTotalRuns",12,"ErrorBound",1e-05,"CurrentTime",1529505324,"CurrentTimeLocal","Wed Jun 20 16:35:24 2018","Hostname","c02n08","gearshifft","0.3.0"
; "Time_ContextCreate [ms]", 0.000101
; "Time_ContextDestroy [ms]", 8.2e-05
"library","inplace","complex","precision","dim","kind","nx","ny","nz","run","id","success","Time_Allocation [ms]","Time_PlanInitFwd [ms]","Time_PlanInitInv [ms]","Time_Upload [ms]","Time_FFT [ms]","Time_iFFT [ms]","Time_Download [ms]","Time_PlanDestroy [ms]","Time_Total [ms]","Size_DeviceBuffer [bytes]","Size_DevicePlan [bytes]","Size_DeviceTransfer [bytes]","Error_StandardDeviation","Error_Mismatches"
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,0,68,"Warmup",0.000558,0.028883,0.009222,0.00045,0.010447,0.006859,0.000416,0.00321,0.06052,2888,0,2888,5.9090167265e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,1,68,"Warmup",0.00035,0.009556,0.006707,0.000284,0.006824,0.006162,0.000141,0.002899,0.033301,2888,0,2888,5.9090167265e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,2,68,"Success",0.000366,0.009091,0.006667,0.000275,0.006784,0.006021,0.000129,0.002776,0.032483,2888,0,2888,5.9090167265e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,3,68,"Success",0.000312,0.009155,0.006607,0.000275,0.006716,0.00603,0.000119,0.002734,0.032304,2888,0,2888,5.9090167265e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,4,68,"Success",0.000303,0.009102,0.00662,0.000276,0.006695,0.006063,0.000124,0.002728,0.032254,2888,0,2888,5.9090167265e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,5,68,"Success",0.00031,0.009064,0.006572,0.000274,0.00661,0.006035,0.000121,0.002693,0.032018,2888,0,2888,5.9090167265e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,6,68,"Success",0.000336,0.009117,0.006609,0.000273,0.006622,0.006052,0.000119,0.002696,0.032164,2888,0,2888,5.9090167265e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,7,68,"Success",0.000293,0.009052,0.006592,0.000267,0.006711,0.006016,0.00012,0.002705,0.032106,2888,0,2888,5.9090167265e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,8,68,"Success",0.000297,0.009024,0.006672,0.000272,0.006683,0.006,0.000119,0.002672,0.032083,2888,0,2888,5.9090167265e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,9,68,"Success",0.000299,0.009027,0.006577,0.000272,0.006724,0.005969,0.00012,0.002673,0.032014,2888,0,2888,5.9090167265e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,10,68,"Success",0.000295,0.009057,0.006568,0.000269,0.006677,0.010442,0.000164,0.002714,0.036526,2888,0,2888,5.9090167265e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,19,0,11,68,"Success",0.000313,0.009141,0.006638,0.00027,0.006733,0.006007,0.000123,0.002711,0.032269,2888,0,2888,5.9090167265e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,361,0,0,69,"Warmup",0.000586,0.023141,0.01725,0.007452,0.048773,0.03308,0.005738,0.007919,0.144435,54872,0,54872,7.2166079914e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,361,0,1,69,"Warmup",0.000444,0.020951,0.016406,0.005559,0.032178,0.029441,0.00635,0.00728,0.118986,54872,0,54872,7.2166079914e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,361,0,2,69,"Success",0.000408,0.020494,0.015699,0.005507,0.032393,0.029642,0.006066,0.006896,0.117453,54872,0,54872,7.2166079914e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,361,0,3,69,"Success",0.000357,0.020747,0.015961,0.005354,0.032156,0.029929,0.006163,0.007492,0.118511,54872,0,54872,7.2166079914e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,361,0,4,69,"Success",0.000358,0.020163,0.015915,0.005355,0.042325,0.039004,0.005037,0.006297,0.134804,54872,0,54872,7.2166079914e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,361,0,5,69,"Success",0.000383,0.019532,0.01551,0.004952,0.031654,0.03315,0.005185,0.006844,0.117533,54872,0,54872,7.2166079914e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,361,0,6,69,"Success",0.000453,0.019318,0.01556,0.005532,0.031107,0.029607,0.006122,0.007027,0.115062,54872,0,54872,7.2166079914e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,361,0,7,69,"Success",0.000373,0.01975,0.015306,0.005183,0.03165,0.028111,0.006038,0.007224,0.113977,54872,0,54872,7.2166079914e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,361,0,8,69,"Success",0.000339,0.019579,0.015256,0.00503,0.031639,0.028588,0.006212,0.007218,0.114187,54872,0,54872,7.2166079914e-08,0
"Fftw_mkl_gnuwrapper","Inplace","Complex","float",2,"oddshape",19,361,0,9,69,"Success",0.000399,0.019088,0.015045,0.004901,0.032018,0.031335,0.006087,0.007206,0.116415,54872,0,54872,7.2166079914e-08,0
